LAT,LON,SIV,REMOTE,FAILSAFE,L_PWM,R_PWM,GPS_HEADING,GPS_SPEED,Setpoint_Speed,Setpoint_Yaw,L_setpoint,R_setpoint
39.9400044,32.8230077,18,1,0,1003,800,203.9,0.33,0.3318069371920013,203.97088516777248,1003.697763827822,795.1128429097565
39.9400017,32.8230041,18,1,0,1003,800,203.9,0.48,0.4566840344129538,203.94642039115527,1002.1080672315978,801.7006012073533
39.9400022,32.8230018,17,1,0,800,800,203.9,0.34,0.2127539960638395,203.84891144146275,795.0180166215373,800.5963793213423
39.9400017,32.8229972,17,1,0,800,800,203.9,0.43,0.3665306519333998,203.74567858267596,799.7636914749845,795.3654478353052
39.9400024,32.8229918,17,1,0,1002,800,203.9,0.45,0.5214819900281175,204.0242883509155,1004.3800428115852,800.9475586701252
39.940004,32.8229884,16,1,0,1002,800,203.9,0.32,0.3294137878800633,203.9552416625003,1001.7966053826576,799.5040296996792
39.9400101,32.8229864,17,1,0,1002,998,273.85,0.46,0.4956186799830869,273.79198968552646,1003.0731399707146,997.935141329848
39.940017,32.8229821,18,1,0,800,999,314.23,0.68,0.7429943578905317,314.2299977446447,793.5482840666655,1005.7682506293352
39.9400068,32.8229892,19,1,0,800,800,226.03,0.6,0.5883335936564582,225.90571733109144,801.5987610473314,798.4093568408178
39.9400138,32.8229825,18,1,0,1002,999,226.03,0.35,0.2717584102424906,226.1699581045531,999.5076976415302,1001.8177054119806
39.9400215,32.8229762,17,1,0,1002,999,304.9,0.74,0.7524118845929537,304.9302146272559,1003.803610142221,992.8328350420772
39.9400292,32.8229695,17,1,0,1003,999,317.4,0.9,0.8602686914730686,317.42528099181345,1003.2443957933468,997.3169207671538
39.940037,32.8229633,17,1,0,800,800,323.44,0.92,0.8815368358918992,323.4989147076554,798.5154776702061,802.9995883890695
39.9400413,32.8229597,17,1,0,800,800,325.24,0.68,0.5548296055132609,325.2340463513233,799.6184695139297,802.2195352474683
39.9400462,32.8229558,17,1,0,800,800,327.62,0.61,0.5865752768930458,327.58808408786706,800.357834328765,802.3380544456778
39.9400509,32.822952,17,1,0,800,800,327.31,0.59,0.5539754781748051,327.3741442971872,796.735868484957,794.5700028648986
39.9400571,32.8229471,17,1,0,800,800,328.3,0.7,0.5955036910303848,328.37465793708145,798.170706949172,800.4837405156692
39.9400613,32.8229426,17,0,0,800,800,326.43,0.58,0.6029232933631127,326.4035862416591,802.7189051845407,793.8036562953685
39.9400663,32.822938,17,1,0,800,800,327.4,0.61,0.5530399228828677,327.286884379766,803.7558197470532,799.1822517732204
39.9400683,32.8229348,18,1,0,1003,800,327.4,0.3,0.3582326983796653,327.355595118224,1001.1955581973816,797.6293591251348
39.9400751,32.8229274,18,1,0,800,800,327.4,0.52,0.6097704092874988,327.28310809445406,798.6001403890559,803.6452435341763
39.9400825,32.822921,17,1,0,800,800,326.63,0.54,0.5654669046505872,326.68237853691613,795.3551829997922,798.9585946755238
39.9400776,32.822922,19,1,0,1002,800,326.63,0.34,0.2757449728562583,326.6902382704821,1000.2767719234948,796.9031262931853
39.9400838,32.8229208,18,1,0,1003,800,326.63,0.22,0.2141523487558222,326.5859831215014,1002.271247877808,798.3688989576802
39.9400852,32.8229255,19,1,0,800,800,326.63,0.61,0.6419034545105997,326.65710531117134,803.0687764314766,797.9288299983743
39.9400926,32.8229258,19,1,0,1003,999,326.63,0.45,0.5405209606087725,326.4184410265927,1003.1079410719336,1001.1547148986494
39.9400955,32.8229333,18,1,0,1002,800,26.04,0.81,0.8089211138748392,26.05484195719717,1003.6256078963472,797.8549297276409
39.9400978,32.8229398,18,1,0,800,800,26.04,0.65,0.7877299480877447,26.06981053439826,796.6581285835241,801.8127953019774
39.9400981,32.8229477,19,1,0,800,800,64.89,0.75,0.7384067991682757,64.93178876648153,794.7196606763898,800.4805327087213
39.9400986,32.822954,19,1,0,800,800,86.07,0.63,0.6368782240586294,85.97471877618264,800.8247345089019,802.6079608319847
39.9401006,32.8229577,19,1,0,800,800,86.07,0.44,0.3764174516677716,86.16709384782173,800.8731034917053,799.6255112902983
39.9401025,32.8229613,19,1,0,800,800,86.07,0.42,0.3790131912830541,86.129538341977,805.2885333783407,802.5967033355305
39.9401026,32.8229658,18,1,0,1003,800,86.07,0.46,0.4429687441547323,86.09271457443904,1003.446291512317,800.6178503339935
39.9401012,32.8229692,18,1,0,800,800,86.07,0.44,0.4871737624964877,85.9142895853357,799.3450317159143,796.1953940709772
39.9400981,32.8229701,18,1,0,800,800,86.07,0.45,0.4450455040250849,86.0256152766155,801.1427711457898,801.0696293878273
39.9400991,32.8229713,17,1,0,800,800,86.07,0.3,0.3752180450240637,85.77838490285305,798.1247904851461,800.8815910700694
39.9401003,32.8229719,18,1,0,800,800,86.07,0.25,0.1878505470539371,86.03600509349839,801.437300592636,806.0615084398938
39.9401033,32.8229719,18,1,0,800,800,86.07,0.14,0.1592243342169678,86.05792602607288,800.3480230878794,795.6619907446757
39.9401055,32.8229718,18,1,0,800,800,86.07,0.12,0.1903906704852819,86.15232103746831,797.3124811003257,803.7271790004708
39.9401066,32.8229726,18,1,0,800,800,86.07,0.16,0.1774601054448543,86.10888764000526,800.8403728584434,799.6226833668145
39.9401087,32.822972,19,1,0,800,800,86.07,0.1,0.0526554650867346,85.9932273211041,793.411777600293,799.2548938618737
39.9401079,32.8229731,20,1,0,800,800,-1.0,0.05,0.0513468609867552,358.9793374449412,802.0572833321172,800.0137608490868
39.9401052,32.8229757,21,1,0,800,800,86.07,0.24,0.3334092443948869,85.94839149453747,798.1830803200021,802.0989487775156
39.9401001,32.8229779,20,1,0,800,800,86.07,0.42,0.4164049045393246,85.93595903749271,797.2404433563744,797.3539170994712
39.9400994,32.8229767,21,1,0,1003,800,86.07,0.16,0.1411278056846924,85.99354051928954,1007.4772518141408,796.8274425498257
39.9401012,32.8229721,21,1,0,800,800,86.07,0.37,0.444924102100697,86.22407411432093,800.8364007555498,801.2087996262962
39.9401002,32.8229692,20,1,0,1002,800,86.07,0.32,0.3603927405767924,85.99731688101288,1001.7605419167044,802.7138359515129
39.9401016,32.8229674,21,1,0,800,800,86.07,0.27,0.2553903645738577,86.21326963202411,801.495192923816,801.1479450842303
39.9401045,32.8229669,23,1,0,1003,999,86.07,0.3,0.3248977870332793,86.26919103896066,998.4907802734056,999.2021578143136
39.9401086,32.8229678,22,1,0,1003,800,86.07,0.49,0.5116387477087961,86.14797994301661,1006.6269505206708,802.4268651970697
39.9401156,32.822972,22,1,0,800,800,46.6,0.81,0.7458771532684801,46.64781859332312,803.8125806214256,796.7031179573681
